Date,Forecast,Confidence Interval Lower,Confidence Interval Upper
2024-11-01 00:00:00+00:00,257.44757,252.2556,262.63953
2024-11-02 00:00:00+00:00,257.50784,252.31587,262.6998
2024-11-03 00:00:00+00:00,257.885,252.69304,263.07697
2024-11-04 00:00:00+00:00,258.30334,253.11137,263.4953
2024-11-05 00:00:00+00:00,258.655,253.46303,263.84695
2024-11-06 00:00:00+00:00,258.89987,253.7079,264.09183
2024-11-07 00:00:00+00:00,259.03232,253.84035,264.22427
2024-11-08 00:00:00+00:00,259.06186,253.86989,264.2538
2024-11-09 00:00:00+00:00,259.00278,253.8108,264.19473
2024-11-10 00:00:00+00:00,258.86902,253.67705,264.06097
2024-11-11 00:00:00+00:00,258.67267,253.4807,263.86462
2024-11-12 00:00:00+00:00,258.42368,253.2317,263.61563
2024-11-13 00:00:00+00:00,258.1302,252.93822,263.32214
2024-11-14 00:00:00+00:00,257.79922,252.60725,262.99118
2024-11-15 00:00:00+00:00,257.4368,252.24483,262.62875
2024-11-16 00:00:00+00:00,257.0482,251.85622,262.24014
2024-11-17 00:00:00+00:00,256.6384,251.44643,261.83035
2024-11-18 00:00:00+00:00,256.21173,251.01976,261.4037
2024-11-19 00:00:00+00:00,255.77254,250.58057,260.9645
2024-11-20 00:00:00+00:00,255.3247,250.13274,260.51666
2024-11-21 00:00:00+00:00,254.87166,249.67969,260.06363
2024-11-22 00:00:00+00:00,254.41638,249.22441,259.60834
2024-11-23 00:00:00+00:00,253.96153,248.76956,259.1535
2024-11-24 00:00:00+00:00,253.50961,248.31764,258.70157
2024-11-25 00:00:00+00:00,253.06279,247.87082,258.25476
2024-11-26 00:00:00+00:00,252.62283,247.43086,257.8148
2024-11-27 00:00:00+00:00,252.19133,246.99936,257.3833
2024-11-28 00:00:00+00:00,251.76949,246.57751,256.96146
2024-11-29 00:00:00+00:00,251.35826,246.16629,256.55023
2024-11-30 00:00:00+00:00,250.95845,245.76648,256.15042
